geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
102358,zh-CN,AS,亚洲,SA,沙特阿拉伯,,,,,,,Asia/Riyadh,0
130758,zh-CN,AS,亚洲,IR,伊朗伊斯兰共和国,,,,,,,Asia/Tehran,0
174982,zh-CN,AS,亚洲,AM,亚美尼亚,,,,,,,Asia/Yerevan,0
248816,zh-CN,AS,亚洲,JO,约旦,,,,,,,Asia/Amman,0
272103,zh-CN,AS,亚洲,LB,黎巴嫩,,,,,,,Asia/Beirut,0
285570,zh-CN,AS,亚洲,KW,科威特,,,,,,,Asia/Kuwait,0
290291,zh-CN,AS,亚洲,BH,巴林,,,,,,,Asia/Bahrain,0
290557,zh-CN,AS,亚洲,AE,阿拉伯联合酋长国,,,,,,,Asia/Dubai,0
294640,zh-CN,AS,亚洲,IL,以色列,,,,,,,Asia/Jerusalem,0
298795,zh-CN,AS,亚洲,TR,土耳其,,,,,,,Europe/Istanbul,0
587116,zh-CN,AS,亚洲,AZ,阿塞拜疆,,,,,,,Asia/Baku,0
630336,zh-CN,EU,欧洲,BY,白俄罗斯,,,,,,,Europe/Minsk,0
660013,zh-CN,EU,欧洲,FI,芬兰,,,,,,,Europe/Helsinki,1
690791,zh-CN,EU,欧洲,UA,乌克兰,,,,,,,,0
719819,zh-CN,EU,欧洲,HU,匈牙利,,,,,,,Europe/Budapest,1
732800,zh-CN,EU,欧洲,BG,保加利亚,,,,,,,Europe/Sofia,1
783754,zh-CN,EU,欧洲,AL,阿尔巴尼亚,,,,,,,Europe/Tirane,0
798544,zh-CN,EU,欧洲,PL,波兰,,,,,,,Europe/Warsaw,1
798549,zh-CN,EU,欧洲,RO,罗马尼亚,,,,,,,Europe/Bucharest,1
1252634,zh-CN,AS,亚洲,BT,不丹,,,,,,,Asia/Thimphu,0
1668284,zh-CN,AS,亚洲,TW,台湾,,,,,,,Asia/Taipei,0
1694008,zh-CN,AS,亚洲,PH,菲律宾,,,,,,,Asia/Manila,0
1814991,zh-CN,AS,亚洲,CN,中国,,,,,,,,0
1819730,zh-CN,AS,亚洲,HK,香港,,,,,,,Asia/Hong_Kong,0
1835841,zh-CN,AS,亚洲,KR,韩国,,,,,,,Asia/Seoul,0
1861060,zh-CN,AS,亚洲,JP,日本,,,,,,,Asia/Tokyo,0
1880251,zh-CN,AS,亚洲,SG,新加坡,,,,,,,,0
1880252,zh-CN,AS,亚洲,SG,新加坡,,,,,新加坡,,Asia/Singapore,0
2017370,zh-CN,EU,欧洲,RU,俄罗斯,,,,,,,,0
2038180,zh-CN,AS,亚洲,CN,中国,22,吉林,,,长春,,Asia/Harbin,0
2077456,zh-CN,OC,大洋洲,AU,澳大利亚,,,,,,,,0
2158177,zh-CN,OC,大洋洲,AU,澳大利亚,VIC,,,,墨尔本,,Australia/Melbourne,0
2215636,zh-CN,AF,非洲,LY,阿拉伯利比亚民众国,,,,,,,Africa/Tripoli,0
2411586,zh-CN,EU,欧洲,GI,,,,,,,,Europe/Gibraltar,0
2510769,zh-CN,EU,欧洲,ES,西班牙,,,,,,,,1
2623032,zh-CN,EU,欧洲,DK,丹麦,,,,,,,Europe/Copenhagen,1
2635167,zh-CN,EU,欧洲,GB,英国,,,,,,,Europe/London,0
2643743,zh-CN,EU,欧洲,GB,英国,ENG,,,,,,Europe/London,0
2655045,zh-CN,,,,,,,,,,,,0
2658434,zh-CN,EU,欧洲,CH,瑞士,,,,,,,Europe/Zurich,0
2661886,zh-CN,EU,欧洲,SE,瑞典,,,,,,,Europe/Stockholm,1
2694762,zh-CN,EU,欧洲,SE,瑞典,E,,,,林雪平,,Europe/Stockholm,1
2750405,zh-CN,EU,欧洲,NL,荷兰,,,,,,,Europe/Amsterdam,1
2782113,zh-CN,EU,欧洲,AT,奥地利,,,,,,,Europe/Vienna,1
2802361,zh-CN,EU,欧洲,BE,比利时,,,,,,,Europe/Brussels,1
2921044,zh-CN,EU,欧洲,DE,德国,,,,,,,Europe/Berlin,1
2963597,zh-CN,EU,欧洲,IE,爱尔兰,,,,,,,Europe/Dublin,1
3017382,zh-CN,EU,欧洲,FR,法国,,,,,,,Europe/Paris,1
3042225,zh-CN,EU,欧洲,IM,曼岛,,,,,,,Europe/Isle_of_Man,0
3077311,zh-CN,EU,欧洲,CZ,捷克共和国,,,,,,,Europe/Prague,1
3144096,zh-CN,EU,欧洲,NO,挪威,,,,,,,Europe/Oslo,0
3175395,zh-CN,EU,欧洲,IT,意大利,,,,,,,Europe/Rome,1
5391811,zh-CN,NA,北美洲,US,美国,CA,加州,,,,825,America/Los_Angeles,0
5803556,zh-CN,NA,北美洲,US,美国,WA,华盛顿州,,,,819,America/Los_Angeles,0
6252001,zh-CN,NA,北美洲,US,美国,,,,,,,America/Chicago,0
6255148,zh-CN,EU,欧洲,,,,,,,,,,0
6290252,zh-CN,EU,欧洲,RS,塞尔维亚,,,,,,,Europe/Belgrade,0
